asset_id,asset_type,original_filename,web_filename,creator,source_url,license_name,license_url,downloaded_at,attribution_required,credit_text,allowed_use,restrictions,used_on,status,notes
user-sunset-water,photo,IMG_4034.jpeg,sunset-water.jpg,Jabari,,User-owned photograph,,2026-08-13,no,Jabari,personal website use,Do not redistribute without permission,/photos,active,Web derivative resized to 2400px max and stripped of EXIF/GPS metadata
user-sunset-portrait,photo,IMG_4035.jpeg,sunset-portrait.jpg,Jabari,,User-owned photograph,,2026-08-13,no,Jabari,personal website use,Do not redistribute without permission,/photos,active,Web derivative resized to 2400px max and stripped of EXIF/GPS metadata
user-shanghai-skyline,photo,R0001094.JPG,shanghai-skyline-bw.jpg,Jabari,,User-owned photograph,,2026-08-13,no,Jabari,personal website use,Do not redistribute without permission,/photos,active,Web derivative resized to 2400px max and stripped of EXIF/GPS metadata
user-shanghai-street,photo,R0001118.JPG,shanghai-street-bw.jpg,Jabari,,User-owned photograph,,2026-08-13,no,Jabari,personal website use,Do not redistribute without permission,/photos,active,Web derivative resized to 2400px max and stripped of EXIF/GPS metadata
user-ferris-wheel,photo,R0001518.JPG,ferris-wheel.jpg,Jabari,,User-owned photograph,,2026-08-13,no,Jabari,personal website use,Do not redistribute without permission,/photos,active,Web derivative resized to 2400px max and stripped of EXIF/GPS metadata
user-shadow-wall,photo,R0002659-2.jpg,shadow-wall.jpg,Jabari,,User-owned photograph,,2026-08-13,no,Jabari,personal website use,Do not redistribute without permission,/photos,active,Web derivative resized to 2400px max and stripped of EXIF/GPS metadata
user-bund-crowd,photo,R0002672-2.jpg,bund-crowd.jpg,Jabari,,User-owned photograph,,2026-08-13,no,Jabari,personal website use,Do not redistribute without permission,/photos,active,Web derivative resized to 2400px max and stripped of EXIF/GPS metadata
user-bridge-sunset,photo,d6e2578a00623389faeca53e15d72dd6.jpg,bridge-sunset.jpg,Jabari,,User-owned photograph,,2026-08-13,no,Jabari,personal website use,Do not redistribute without permission,/photos,active,Web derivative resized to 2400px max and stripped of EXIF/GPS metadata
user-riverside-buildings,photo,fxn-2024-01-13-164914.015.jpg,riverside-buildings.jpg,Jabari,,User-owned photograph,,2026-08-13,no,Jabari,personal website use,Do not redistribute without permission,/photos,active,Web derivative resized to 2400px max and stripped of EXIF/GPS metadata
user-coastline,photo,fxn-2024-05-29-174551.724.jpg,coastline.jpg,Jabari,,User-owned photograph,,2026-08-13,no,Jabari,personal website use,Do not redistribute without permission,/photos,active,Web derivative resized to 2400px max and stripped of EXIF/GPS metadata
